08-30 04:54:06 exp/100 arm=IT300 cpu_total=284.0min delta_5min=36.8min ram=2.96GB bat=2/79%
08-30 04:59:09 exp/100 arm=IT300 cpu_total=320.0min delta_5min=36.0min ram=2.33GB bat=2/79%
08-30 05:04:14 exp/100 arm=IT300 cpu_total=356.9min delta_5min=36.9min ram=3.04GB bat=2/79%
08-30 05:09:17 exp/100 arm=IT300 cpu_total=393.7min delta_5min=36.7min ram=2.72GB bat=2/79%
08-30 23:20:51 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/74%
08-30 23:25:52 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/72%
08-30 23:30:54 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/70%
08-30 23:35:55 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/68%
08-30 23:40:56 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/67%
08-30 23:45:57 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/65%
08-30 23:50:59 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/63%
08-30 23:56:01 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/61%
08-31 00:01:02 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/60%
08-31 00:06:03 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/58%
08-31 00:11:04 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/56%
08-31 00:16:06 exp/94 it1000 cpu_total=0.0min delta_5min=0.0min ram=0.00GB bat=1/54%
